time,id,source,dest
1038,p0230,3,17
1039,p0231,3,16
1039,p0232,15,7
1042,p0233,1,20
1043,p0234,20,18
1067,p0235,13,7
1078,p0236,6,2
1083,p0237,2,14
1108,p0238,12,11
1109,p0239,19,13
1110,p0240,6,18
1114,p0241,1,2
1116,p0242,9,13
1117,p0243,10,11
1128,p0244,6,1
1133,p0245,8,12
1134,p0246,7,10
1147,p0247,4,19
1151,p0248,17,7
1159,p0249,13,17
1160,p0250,17,5
1188,p0251,1,6
1201,p0252,12,1
1203,p0253,6,1
1205,p0254,18,1
1212,p0255,9,1
1213,p0256,19,1
1218,p0257,14,1
1227,p0258,3,1
1232,p0259,11,1
1240,p0260,10,1
1241,p0261,10,1
1263,p0262,14,1
1272,p0263,20,1
1274,p0264,1,2
1275,p0265,20,1
1282,p0266,6,1
1286,p0267,19,1
1286,p0268,16,1
1288,p0269,19,1
1293,p0270,7,1
1295,p0271,13,1
1297,p0272,15,1
1300,p0273,10,14
1302,p0274,11,1
1303,p0275,12,1
1309,p0276,3,1
1310,p0277,4,1
1311,p0278,1,2
1313,p0279,19,1
1313,p0280,8,1
1314,p0281,6,1
1323,p0282,2,1
1326,p0283,16,1
1326,p0284,11,1
1327,p0285,19,1
1327,p0286,10,1
1335,p0287,12,1
1336,p0288,9,13
1338,p0289,1,4
1338,p0290,1,8
1342,p0291,4,1
1342,p0292,19,1
1343,p0293,12,1
1343,p0294,14,1
1347,p0295,12,1
1347,p0296,9,1
1348,p0297,1,19
1354,p0298,20,1
1354,p0299,8,1
1355,p0300,20,1
1357,p0301,15,1
1360,p0302,13,1
1362,p0303,1,16
1364,p0304,13,1
1364,p0305,10,1
1365,p0306,7,1
1373,p0307,1,7
1373,p0308,2,1
1381,p0309,2,1
1387,p0310,20,1
1388,p0311,11,1
1388,p0312,8,1
1391,p0313,14,1
1391,p0314,20,1
1398,p0315,7,1
1399,p0316,18,1
1402,p0317,7,1
1407,p0318,5,17
1409,p0319,18,1
1413,p0320,11,1
1416,p0321,16,1
1416,p0322,4,1
1420,p0323,1,2
1421,p0324,5,10
1428,p0325,1,19
1428,p0326,18,1
1429,p0327,4,1
1431,p0328,20,1
1436,p0329,17,1
1437,p0330,5,1
1438,p0331,7,1
1443,p0332,5,1
1447,p0333,6,1
1450,p0334,16,1
1450,p0335,5,1
1455,p0336,2,1
1458,p0337,2,1
1462,p0338,15,1
1462,p0339,14,1
1467,p0340,14,1
1470,p0341,14,1
1476,p0342,10,1
1477,p0343,8,20
1481,p0344,2,1
1484,p0345,10,1
1492,p0346,1,9
1492,p0347,2,1
1492,p0348,5,7
1493,p0349,5,1
1496,p0350,2,1
1498,p0351,11,1
